gene,cancer_type,tumor_expression,survival_association,geo_validation,depmap_dependency,normal_tissue_safety,mutation_cna_support,novelty_score,notes
MKI67,GBM,positive,negative,partial,strong,moderate,weak,low,Proliferation marker; strong biological signal but low novelty.
TOP2A,GBM,positive,negative,partial,strong,moderate,weak,moderate,Proliferation/cell-cycle associated candidate; useful for dependency testing.
CDK1,Gastric cancer,positive,negative,partial,strong,moderate,weak,moderate,Cell-cycle dependency candidate; may be biologically plausible but needs specificity checks.
AURKA,Gastric cancer,positive,negative,partial,strong,moderate,moderate,moderate,Mitotic kinase candidate; plausible but requires validation.
MMP9,Gastric cancer,positive,mixed,partial,weak,moderate,weak,moderate,Invasion/stromal-associated candidate; may have conflicting tumor-cell versus microenvironment interpretation.
NF1,GBM,Context-dependent,Subtype/context dependent,Needs validation,Variable,Loss-of-function context,Alteration/pathway support,6,RAS-MAPK pathway tumor suppressor context case.
AKT1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: AKT1 in Acute myeloid leukemia; pathway context: PI3K-AKT signaling.
APC,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: APC in Acute myeloid leukemia; pathway context: WNT signaling.
ARID1A,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1A in Acute myeloid leukemia; pathway context: Chromatin remodeling.
ARID1B,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ARID1B in Acute myeloid leukemia; pathway context: Chromatin remodeling.
ATM,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: ATM in Acute myeloid leukemia; pathway context: DNA damage response.
ATR,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: ATR in Acute myeloid leukemia; pathway context: DNA damage response.
B2M,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Context-dependent safety,Known cancer-context gene,5,Pan-cancer catalog hypothesis: B2M in Acute myeloid leukemia; pathway context: Antigen presentation.
BRAF,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: BRAF in Acute myeloid leukemia; pathway context: MAPK signaling.
BRCA1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA1 in Acute myeloid leukemia; pathway context: DNA repair / HRD.
BRCA2,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Loss-of-function context,Alteration/loss context,5,Pan-cancer catalog hypothesis: BRCA2 in Acute myeloid leukemia; pathway context: DNA repair / HRD.
CCND1,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CCND1 in Acute myeloid leukemia; pathway context: Cell cycle.
CD274,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD274 in Acute myeloid leukemia; pathway context: Immune checkpoint.
CD276,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Not primary dependency mechanism,Tumor-normal expression safety required,Expression/antigen context,5,Pan-cancer catalog hypothesis: CD276 in Acute myeloid leukemia; pathway context: Immune checkpoint / tumor antigen.
CDK4,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK4 in Acute myeloid leukemia; pathway context: Cell cycle.
CDK6,Acute myeloid leukemia,Context-dependent,Unclear,Needs validation,Variable,Pathway/subgroup safety context,Alteration/pathway context,5,Pan-cancer catalog hypothesis: CDK6 in Acute myeloid leukemia; pathway context: Cell cycle.
