gene,role_category,target_class,biological_process,interpretation_note
CDK1,Core cell-cycle essential,Cell-cycle kinase,Mitosis and cell-cycle progression,CDK1 is a core cell-cycle kinase; dependency signals are likely to carry broad essentiality risk.
MKI67,Proliferation marker,Proliferation marker,Cell proliferation,MKI67 is primarily a proliferation marker; dependency or expression signals may reflect tumor growth rate rather than targetability.
TOP2A,Proliferation/DNA topology,DNA topoisomerase,DNA replication and chromosome segregation,TOP2A is linked to proliferation and DNA topology; strong dependency may reflect broad essentiality.
AURKA,Mitotic kinase,Cell-cycle kinase,Mitosis and chromosome segregation,AURKA is a mitotic kinase; dependency should be checked for selectivity versus general proliferation.
MMP9,Invasion/ECM remodeling,Secreted protease,Extracellular matrix remodeling and invasion,"MMP9 is best interpreted through invasion, microenvironment, and remodeling biology rather than direct dependency alone."
AKT1,Oncogene / signaling kinase,Serine/threonine kinase,AKT signaling,AKT1 should be interpreted through AKT signaling context; do not infer therapeutic actionability from one evidence layer alone.
ALK,Oncogenic fusion kinase,Receptor tyrosine kinase,Fusion-driven RTK signaling,ALK should be interpreted through Fusion-driven RTK signaling context; do not infer therapeutic actionability from one evidence layer alone.
APC,Tumor suppressor,WNT destruction-complex regulator,WNT signaling,APC should be interpreted through WNT signaling context; do not infer therapeutic actionability from one evidence layer alone.
AR,Lineage/onco-dependency transcription factor,Nuclear hormone receptor,Androgen receptor signaling,AR should be interpreted through Androgen receptor signaling context; do not infer therapeutic actionability from one evidence layer alone.
ARID1A,Chromatin regulator / tumor suppressor,SWI/SNF chromatin regulator,Chromatin remodeling,ARID1A should be interpreted through Chromatin remodeling context; do not infer therapeutic actionability from one evidence layer alone.
ARID1B,Chromatin regulator / tumor suppressor,SWI/SNF chromatin regulator,Chromatin remodeling,ARID1B should be interpreted through Chromatin remodeling context; do not infer therapeutic actionability from one evidence layer alone.
ATM,DNA damage response tumor suppressor,DNA damage response kinase,DNA repair checkpoint signaling,ATM should be interpreted through DNA repair checkpoint signaling context; do not infer therapeutic actionability from one evidence layer alone.
ATR,DNA damage response kinase,Replication stress response kinase,DNA replication stress response,ATR should be interpreted through DNA replication stress response context; do not infer therapeutic actionability from one evidence layer alone.
ATRX,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,ATRX is included as a curated cancer-context gene; interpretation requires layer-specific validation.
AXIN1,Cancer-associated gene,Curated cancer-context gene,Cancer-associated biology,AXIN1 is included as a curated cancer-context gene; interpretation requires layer-specific validation.
B2M,Immune antigen-presentation gene,MHC class I component,Antigen presentation,B2M should be interpreted through Antigen presentation context; do not infer therapeutic actionability from one evidence layer alone.
BAP1,Tumor suppressor / chromatin regulator,Deubiquitinase,Chromatin regulation and DNA repair,BAP1 should be interpreted through Chromatin regulation and DNA repair context; do not infer therapeutic actionability from one evidence layer alone.
BCL2,Apoptosis regulator oncogene,Anti-apoptotic protein,Apoptosis suppression,BCL2 should be interpreted through Apoptosis suppression context; do not infer therapeutic actionability from one evidence layer alone.
BCL6,Lineage transcription factor oncogene,Transcriptional repressor,B-cell state regulation,BCL6 should be interpreted through B-cell state regulation context; do not infer therapeutic actionability from one evidence layer alone.
